"","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop","use.machines.prop","machine.most.used","all.machines","ftotinc"
"56","Sauk",2016,16050,47.42,15871,46.89,1927,5.69,-179,-0.530000000000001,"Dem","Clinton",33848,70.2371812164097,48191,-11.263872584333,6.67951984213988,4.58435274219313,5719,17.9433924264729,1921,2.92040631550729,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly voting machines",NA
"57","Sawyer",2016,2846,36.64,4625,59.55,296,3.81,1779,22.91,"Rep","Trump",7767,57.7257525083612,13455,-13.0663711911357,10.331163434903,2.73520775623269,1823,23.3975346260388,-1258,-10.4286048394714,2,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",0,NA,"Some or no voting machines",NA
"58","Shawano",2016,6056,30.75,12742,64.69,899,4.57,6686,33.94,"Rep","Trump",19697,59.6390831743725,33027,-13.6308866314907,10.338207505301,3.30267912618965,4664,23.9690941367918,-582,-2.75016122631666,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.5,"ES&S","Some or no voting machines",NA
"59","Sheboygan",2016,22636,38.83,32368,55.53,3286,5.63,9732,16.7,"Rep","Trump",58290,64.9347755856829,89767,-5.73114028507127,1.14619128186302,4.57494900320825,3578,6.87733156693429,-4361,-5.98071577781965,0,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",101703.533520971
"60","St. Croix",2016,17496,37.37,26123,55.8,3200,6.83,8627,18.43,"Rep","Trump",46819,74.2004500935053,63098,-5.70193077339102,0.628555976203351,5.07337479718767,3034,6.33048674959437,594,-0.237141494120863,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.848484848484849,"ES&S","Mostly voting machines",NA
"61","Taylor",2016,2398,25.46,6589,69.97,430,4.56,4191,44.51,"Rep","Trump",9417,59.1297249780234,15926,-14.1005550883095,11.0864844407065,3.00407064760303,2353,25.187039529016,-95,-1.5606342384636,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.222222222222222,"ES&S","Some or no voting machines",NA
"62","Trempealeau",2016,5645,41.57,7370,54.27,566,4.17,1725,12.7,"Rep","Trump",13581,60.5915945391273,22414,-14.8427290260366,11.9363452266152,2.91638379942141,3623,26.7790742526519,100,-0.521783220517257,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.115384615384615,"ES&S","Some or no voting machines",NA
"63","Vernon",2016,6351,44.75,6994,49.28,848,5.98,643,4.53,"Rep","Trump",14193,63.3502945902517,22404,-11.6239575303105,7.63727801527788,3.99667951503259,2745,19.2612355455883,-76,-1.36465846884391,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.03125,"Dominion","Some or no voting machines",NA
"64","Vilas",2016,4769,35.45,8169,60.72,515,3.82,3400,25.27,"Rep","Trump",13453,74.6186699206833,18029,-7.54234214708857,4.73820546163849,2.79413668545008,1602,12.2805476087271,-389,-3.39519470198475,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",NA
"65","Walworth",2016,18706,36.99,28848,57.05,3016,5.96,10142,20.06,"Rep","Trump",50570,63.1209745868491,80116,-6.12798558400092,1.59237806626771,4.53560751773321,3688,7.72036365026862,-1733,-3.21382572261103,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",96798.524939533
